itemsTagged,street,rubbishType,day,serverTimeStamp,city,state,lat,long
1,Broadway St,paper,Wednesday,"2/12/2020, 7:37:18 PM",Redwood City,CA,37.48652616,-122.2298059
1,Broadway St,other,Wednesday,"2/12/2020, 7:34:30 PM",Redwood City,CA,37.48651843,-122.229833
1,Broadway St,paper,Wednesday,"2/12/2020, 7:34:09 PM",Redwood City,CA,37.48662815,-122.22992
1,Broadway St,paper,Wednesday,"2/12/2020, 7:34:00 PM",Redwood City,CA,37.48663095,-122.2298427
1,Broadway St,other,Wednesday,"2/12/2020, 7:33:22 PM",Redwood City,CA,37.48666062,-122.2297701
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:33:19 PM",Redwood City,CA,37.4866508,-122.2297964
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:33:17 PM",Redwood City,CA,37.48665228,-122.229808
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:33:15 PM",Redwood City,CA,37.48664785,-122.2298136
1,Broadway St,paper,Wednesday,"2/12/2020, 7:33:13 PM",Redwood City,CA,37.4866543,-122.2298124
1,Broadway St,paper,Wednesday,"2/12/2020, 7:33:10 PM",Redwood City,CA,37.48666475,-122.229827
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:32:43 PM",Redwood City,CA,37.48663604,-122.2298415
1,Broadway St,paper,Wednesday,"2/12/2020, 7:32:22 PM",Redwood City,CA,37.48655871,-122.2298801
1,Broadway St,paper,Wednesday,"2/12/2020, 7:32:08 PM",Redwood City,CA,37.48655438,-122.2298705
1,Broadway St,other,Wednesday,"2/12/2020, 7:31:39 PM",Redwood City,CA,37.48649874,-122.2300222
1,Broadway St,other,Wednesday,"2/12/2020, 7:31:37 PM",Redwood City,CA,37.48650288,-122.2300161
1,Broadway St,other,Wednesday,"2/12/2020, 7:31:34 PM",Redwood City,CA,37.48650081,-122.2299867
1,Broadway St,other,Wednesday,"2/12/2020, 7:31:21 PM",Redwood City,CA,37.48650982,-122.2299338
1,Broadway St,paper,Wednesday,"2/12/2020, 7:31:17 PM",Redwood City,CA,37.48653309,-122.2299516
1,Broadway St,paper,Wednesday,"2/12/2020, 7:31:04 PM",Redwood City,CA,37.48656152,-122.230002
1,Broadway St,paper,Wednesday,"2/12/2020, 7:31:02 PM",Redwood City,CA,37.4865664,-122.2300014
1,Broadway St,paper,Wednesday,"2/12/2020, 7:30:50 PM",Redwood City,CA,37.48662494,-122.2299685
1,Broadway St,other,Wednesday,"2/12/2020, 7:30:47 PM",Redwood City,CA,37.48662602,-122.2299511
1,Broadway St,paper,Wednesday,"2/12/2020, 7:30:39 PM",Redwood City,CA,37.4865774,-122.2300102
1,Broadway St,paper,Wednesday,"2/12/2020, 7:30:35 PM",Redwood City,CA,37.48659455,-122.230008
1,Broadway St,paper,Wednesday,"2/12/2020, 7:30:18 PM",Redwood City,CA,37.48674314,-122.2300225
1,Broadway St,food,Wednesday,"2/12/2020, 7:30:07 PM",Redwood City,CA,37.48670818,-122.2300607
1,Broadway St,paper,Wednesday,"2/12/2020, 7:30:01 PM",Redwood City,CA,37.48669973,-122.230026
1,Broadway St,other,Wednesday,"2/12/2020, 7:29:50 PM",Redwood City,CA,37.4866735,-122.2298815
1,Broadway St,other,Wednesday,"2/12/2020, 7:29:38 PM",Redwood City,CA,37.48674197,-122.2298935
1,Broadway St,other,Wednesday,"2/12/2020, 7:29:33 PM",Redwood City,CA,37.48674793,-122.2298843
1,Broadway St,paper,Wednesday,"2/12/2020, 7:29:29 PM",Redwood City,CA,37.48675724,-122.2299094
1,Broadway St,other,Wednesday,"2/12/2020, 7:29:23 PM",Redwood City,CA,37.48676726,-122.2298814
1,Broadway St,other,Wednesday,"2/12/2020, 7:29:20 PM",Redwood City,CA,37.48675924,-122.2299175
1,Broadway St,other,Wednesday,"2/12/2020, 7:28:54 PM",Redwood City,CA,37.48681642,-122.229948
1,Broadway St,other,Wednesday,"2/12/2020, 7:28:51 PM",Redwood City,CA,37.48681208,-122.2299335
1,Broadway St,other,Wednesday,"2/12/2020, 7:28:47 PM",Redwood City,CA,37.48681512,-122.2299471
1,Broadway St,paper,Wednesday,"2/12/2020, 7:28:44 PM",Redwood City,CA,37.48678143,-122.2299375
1,Broadway St,paper,Wednesday,"2/12/2020, 7:28:40 PM",Redwood City,CA,37.48678283,-122.2299457
1,Broadway St,other,Wednesday,"2/12/2020, 7:28:38 PM",Redwood City,CA,37.48677214,-122.2299175
1,Broadway St,paper,Wednesday,"2/12/2020, 7:28:35 PM",Redwood City,CA,37.48677027,-122.2299148
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:32 PM",Redwood City,CA,37.48676101,-122.229898
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:29 PM",Redwood City,CA,37.48675511,-122.2298986
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:28 PM",Redwood City,CA,37.4867505,-122.229897
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:26 PM",Redwood City,CA,37.48677265,-122.2298815
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:25 PM",Redwood City,CA,37.48677832,-122.2298704
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:23 PM",Redwood City,CA,37.48676323,-122.2298676
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:19 PM",Redwood City,CA,37.48674695,-122.2298697
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:16 PM",Redwood City,CA,37.48674675,-122.2298535
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:28:14 PM",Redwood City,CA,37.48673822,-122.2298543
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:28:11 PM",Redwood City,CA,37.48672786,-122.2298081
